"Illinois College","1101 W College Ave Jacksonville Illinois 62650-2299","62650","@ic.edu",39.7323,-90.2457
"Grove City College","100 Campus Dr Grove City Pennsylvania 16127-2104","16127","@gcc.edu",41.1555,-80.0819
"Amberton University","1700 Eastgate Dr Garland Texas 75041-5595","75041","@amberton.edu",32.859499,-96.6536
"University of Illinois at Urbana-Champaign","601 E John Street Champaign Illinois 61820-5711","61820","@illinois.edu",40.109,-88.2296
"Argosy University-Sarasota","5250 17th Street Sarasota Florida 34235","34235","@argosy.edu",27.3649,-82.4801
"ECPI Technical College","5234 Airport Rd Roanoke Virginia 24012","24012","@ecpi.edu",37.3071,-79.9228
"College of Our Lady of the Elms","291 Springfield St Chicopee Massachusetts 01013","01013","@elms.edu",42.1613,-72.6072
"Shawnee State University","940  Second  St Portsmouth Ohio 45662","45662","@shawnee.edu",38.7573,-82.9504
"Lewis-Clark State College","500 8th Ave Lewiston Idaho 83501-2698","83501","@lcsc.edu",46.4123,-117.0288
"Southwestern Christian College","200 Bowser Circle Terrell Texas 75160-4812","75160","@swcc.edu",32.720399,-96.2886
"Heritage Christian University","3625 Helton Dr Florence Alabama 35630-9977","35630","@hcu.edu",34.8184,-87.6629
"Western Kentucky University","1906 College Heights Blvd Bowling Green Kentucky 42101-1000","42101","@wku.edu",36.9872,-86.4552
"Kentucky State University","400 East Main Street Frankfort Kentucky 40601","40601","@kysu.edu",38.1955,-84.8691
"Wentworth Institute of Technology","550 Huntington Ave Boston Massachusetts 02115","02115","@wit.edu",42.3411,-71.0945
"Virginia Union University","1500 N Lombardy St Richmond Virginia 23220","23220","@vuu.edu",37.5495,-77.4581
"Fairleigh Dickinson University-College at Florham","285 Madison Ave Madison New Jersey 07940","07940","@fdu.edu",40.7592,-74.4172
"Benedictine College","1020 N 2nd St Atchison Kansas 66002-1499","66002","@benedictine.edu",39.5723,-95.1149
"Xavier University","3800 Victory Parkway Cincinnati Ohio 45207-1092","45207","@xavier.edu",39.1489,-84.4762
"Ellis University","111 N Canal St Ste 380 Chicago Illinois 60606","60606","@ellis.edu",41.8823,-87.6366
"Remington College-Tampa Campus","2410 E Busch Blvd Tampa Florida 33612-8410","33612","@remingtoncollege.edu",28.0327,-82.4321
"Wesleyan College","4760 Forsyth Rd Macon Georgia 31210-4462","31210","@wesleyan.edu",32.8761,-83.7142
"Ashland University","401 College Ave Ashland Ohio 44805","44805","@ashland.edu",40.8632,-82.3217
"South Baylo University","1126 N Brookhurst St Anaheim California 92801-1701","92801","@southbaylo.edu",33.8488,-117.959
